Month,Rainfall (cm)
1901-01,28.7
1901-02,44.7
1901-03,51.6
1901-04,160
1901-05,174.7
1901-06,824.6
1901-07,743
1901-08,357.5
1901-09,197.7
1901-10,266.9
1901-11,350.8
1901-12,48.4
1902-01,6.7
1902-02,2.6
1902-03,57.3
1902-04,83.9
1902-05,134.5
1902-06,390.9
1902-07,1205
1902-08,315.8
1902-09,491.6
1902-10,358.4
1902-11,158.3
1902-12,121.5
1903-01,3.2
1903-02,18.6
1903-03,3.1
1903-04,83.6
1903-05,249.7
1903-06,558.6
1903-07,1022.5
1903-08,420.2
1903-09,341.8
1903-10,354.1
1903-11,157
1903-12,59
1904-01,23.7
1904-02,3
1904-03,32.2
1904-04,71.5
1904-05,235.7
1904-06,1098.2
1904-07,725.5
1904-08,351.8
1904-09,222.7
1904-10,328.1
1904-11,33.9
1904-12,3.3
1905-01,1.2
1905-02,22.3
1905-03,9.4
1905-04,105.9
1905-05,263.3
1905-06,850.2
1905-07,520.5
1905-08,293.6
1905-09,217.2
1905-10,383.5
1905-11,74.4
1905-12,0.2
1906-01,26.7
1906-02,7.4
1906-03,9.9
1906-04,59.4
1906-05,160.8
1906-06,414.9
1906-07,954.2
1906-08,442.8
1906-09,131.2
1906-10,251.7
1906-11,163.1
1906-12,86
1907-01,18.8
1907-02,4.8
1907-03,55.7
1907-04,170.8
1907-05,101.4
1907-06,770.9
1907-07,760.4
1907-08,981.5
1907-09,225
1907-10,309.7
1907-11,219.1
1907-12,52.8
1908-01,8
1908-02,20.8
1908-03,38.2
1908-04,102.9
1908-05,142.6
1908-06,592.6
1908-07,902.2
1908-08,352.9
1908-09,175.9
1908-10,253.3
1908-11,47.9
1908-12,11
1909-01,54.1
1909-02,11.8
1909-03,61.3
1909-04,93.8
1909-05,473.2
1909-06,704.7
1909-07,782.3
1909-08,258
1909-09,195.4
1909-10,212.1
1909-11,171.1
1909-12,32.3
1910-01,54.1
1910-02,11.8
1910-03,61.3
1910-04,93.8
1910-05,473.2
1910-06,704.7
1910-07,782.3
1910-08,258
1910-09,195.4
1910-10,212.1
1910-11,171.1
1910-12,32.3
1911-01,3
1911-02,4.3
1911-03,18.2
1911-04,51
1911-05,180.6
1911-06,990
1911-07,705.3
1911-08,178.6
1911-09,60.2
1911-10,302.3
1911-11,145.7
1911-12,87.6
1912-01,1.9
1912-02,15
1912-03,11.2
1912-04,122.7
1912-05,217.3
1912-06,948.2
1912-07,833.6
1912-08,534.4
1912-09,136.8
1912-10,469.5
1912-11,138.7
1912-12,22
1913-01,3.1
1913-02,5.2
1912-03,20.7
1913-04,75.7
1913-05,198.8
1913-06,541.7
1913-07,763.2
1913-08,247.2
1913-09,176.9
1913-10,422.5
1913-11,109.9
1913-12,45.8
1914-01,0.7
1914-02,6.8
1914-03,18.1
1914-04,32.7
1914-05,164.2
1914-06,565.3
1914-07,857.7
